abn,remuneration_quartile,reporting_period,avg_total_remuneration
25672640041,Total workforce,2023 - 24,"193,000.00"
25672640041,Lower quartile,2023 - 24,"108,000.00"
25671644016,Lower middle quartile,2024 - 25,"119,000.00"
25664211170,Upper quartile,2023 - 24,"66,000.00"
25664211170,Upper middle quartile,2023 - 24,"58,000.00"
25664211170,Total workforce,2023 - 24,"60,000.00"
25664211170,Lower quartile,2023 - 24,"57,000.00"
25664211170,Lower middle quartile,2023 - 24,"57,000.00"
25658704066,Lower middle quartile,2024 - 25,"59,000.00"
25658704066,Upper quartile,2023 - 24,"72,000.00"
25658704066,Upper middle quartile,2023 - 24,"60,000.00"
25658704066,Total workforce,2023 - 24,"60,000.00"
25658704066,Lower quartile,2023 - 24,"53,000.00"
25654540655,Upper quartile,2023 - 24,"249,000.00"
25654540655,Upper middle quartile,2023 - 24,"107,000.00"
25654540655,Total workforce,2023 - 24,"127,000.00"
25654540655,Lower quartile,2023 - 24,"68,000.00"
25654540655,Lower middle quartile,2023 - 24,"84,000.00"
25639556988,Lower middle quartile,2024 - 25,"103,000.00"
25639556988,Upper quartile,2023 - 24,"133,000.00"
25639556988,Upper middle quartile,2023 - 24,"110,000.00"
25639556988,Total workforce,2023 - 24,"107,000.00"
25639556988,Lower quartile,2023 - 24,"85,000.00"
25637308779,Lower quartile,2024 - 25,"90,000.00"
25637308779,Lower middle quartile,2024 - 25,"98,000.00"
25637308779,Upper quartile,2023 - 24,"81,000.00"
25637308779,Upper middle quartile,2023 - 24,"76,000.00"
25637308779,Total workforce,2023 - 24,"74,000.00"
25629788772,Lower middle quartile,2024 - 25,"53,000.00"
25620920336,Lower middle quartile,2024 - 25,"84,000.00"
25620110250,Lower middle quartile,2024 - 25,"182,000.00"
25620110250,Upper quartile,2023 - 24,"374,000.00"
25620110250,Upper middle quartile,2023 - 24,"227,000.00"
25620110250,Total workforce,2023 - 24,"222,000.00"
25620110250,Lower quartile,2023 - 24,"108,000.00"
25617475104,Lower middle quartile,2024 - 25,"102,000.00"
25616155554,Lower middle quartile,2024 - 25,"24,000.00"
25612976315,Lower middle quartile,2024 - 25,"99,000.00"
25612976315,Upper quartile,2023 - 24,"252,000.00"
25612976315,Upper middle quartile,2023 - 24,"131,000.00"
25612976315,Total workforce,2023 - 24,"136,000.00"
25612976315,Lower quartile,2023 - 24,"72,000.00"
25610396006,Lower middle quartile,2024 - 25,"69,000.00"
25607522510,Upper quartile,2023 - 24,"235,000.00"
25607522510,Upper middle quartile,2023 - 24,"116,000.00"
25607522510,Total workforce,2023 - 24,"122,000.00"
25607522510,Lower quartile,2023 - 24,"66,000.00"
25607522510,Lower middle quartile,2023 - 24,"77,000.00"
25606939897,Lower middle quartile,2024 - 25,"91,000.00"
25606614500,Lower middle quartile,2024 - 25,"106,000.00"
25605571220,Lower middle quartile,2024 - 25,"62,000.00"
25605571220,Upper quartile,2023 - 24,"108,000.00"
25605571220,Upper middle quartile,2023 - 24,"71,000.00"
25605571220,Total workforce,2023 - 24,"73,000.00"
25605571220,Lower quartile,2023 - 24,"50,000.00"
25605249778,Lower quartile,2024 - 25,"81,000.00"
25605249778,Lower middle quartile,2024 - 25,"96,000.00"
25605249778,Upper quartile,2023 - 24,"128,000.00"
25605249778,Upper middle quartile,2023 - 24,"100,000.00"
25605249778,Total workforce,2023 - 24,"99,000.00"
25604069981,Lower middle quartile,2024 - 25,"114,000.00"
25602791364,Lower middle quartile,2024 - 25,"93,000.00"
25602791364,Upper quartile,2023 - 24,"189,000.00"
25602791364,Upper middle quartile,2023 - 24,"122,000.00"
25602791364,Total workforce,2023 - 24,"122,000.00"
25602791364,Lower quartile,2023 - 24,"80,000.00"
25600791026,Lower middle quartile,2024 - 25,"223,000.00"
25600791026,Upper quartile,2023 - 24,"757,000.00"
25600791026,Upper middle quartile,2023 - 24,"295,000.00"
25600791026,Total workforce,2023 - 24,"339,000.00"
25600791026,Lower quartile,2023 - 24,"113,000.00"
25600765106,Lower middle quartile,2024 - 25,"169,000.00"
25598708473,Lower middle quartile,2024 - 25,"71,000.00"
25598708473,Upper quartile,2023 - 24,"111,000.00"
25598708473,Upper middle quartile,2024 - 25,"76,000.00"
25598708473,Total workforce,2023 - 24,"81,000.00"
25598708473,Lower quartile,2023 - 24,"63,000.00"
25548385225,Lower middle quartile,2024 - 25,"73,000.00"
25548385225,Upper quartile,2023 - 24,"150,000.00"
25548385225,Upper middle quartile,2024 - 25,"89,000.00"
25548385225,Total workforce,2023 - 24,"87,000.00"
25548385225,Lower quartile,2023 - 24,"47,000.00"
25524047301,Lower middle quartile,2024 - 25,"94,000.00"
25524047301,Upper quartile,2023 - 24,"123,000.00"
25524047301,Upper middle quartile,2023 - 24,"113,000.00"
25524047301,Total workforce,2023 - 24,"95,000.00"
25524047301,Lower quartile,2023 - 24,"63,000.00"
25508850572,Lower middle quartile,2024 - 25,"92,000.00"
25508850572,Upper quartile,2023 - 24,"137,000.00"
25508850572,Upper middle quartile,2023 - 24,"121,000.00"
25508850572,Total workforce,2023 - 24,"106,000.00"
25508850572,Lower quartile,2023 - 24,"75,000.00"
25357951697,Lower middle quartile,2024 - 25,"75,000.00"
25357951697,Upper quartile,2023 - 24,"111,000.00"
25357951697,Upper middle quartile,2024 - 25,"84,000.00"
25357951697,Total workforce,2023 - 24,"81,000.00"
25357951697,Lower quartile,2023 - 24,"61,000.00"
25328758007,Lower middle quartile,2024 - 25,"78,000.00"
25328758007,Upper quartile,2023 - 24,"158,000.00"
25328758007,Upper middle quartile,2023 - 24,"89,000.00"
25328758007,Total workforce,2023 - 24,"96,000.00"
25328758007,Lower quartile,2023 - 24,"64,000.00"
25254529402,Lower middle quartile,2024 - 25,"78,000.00"
25254529402,Upper quartile,2023 - 24,"134,000.00"
25254529402,Upper middle quartile,2024 - 25,"83,000.00"
25254529402,Total workforce,2023 - 24,"95,000.00"
25254529402,Lower quartile,2023 - 24,"67,000.00"
25247292165,Lower quartile,2024 - 25,"68,000.00"
25247292165,Lower middle quartile,2024 - 25,"84,000.00"
25247292165,Upper quartile,2023 - 24,"195,000.00"
25247292165,Upper middle quartile,2023 - 24,"92,000.00"
25247292165,Total workforce,2023 - 24,"105,000.00"
25232471136,Lower quartile,2024 - 25,"41,000.00"
25232471136,Lower middle quartile,2024 - 25,"53,000.00"
25232471136,Upper quartile,2023 - 24,"99,000.00"
25232471136,Upper middle quartile,2023 - 24,"58,000.00"
25232471136,Total workforce,2023 - 24,"61,000.00"
25213593788,Lower middle quartile,2024 - 25,"64,000.00"
25213593788,Upper quartile,2023 - 24,"110,000.00"
25213593788,Upper middle quartile,2023 - 24,"71,000.00"
25213593788,Total workforce,2023 - 24,"72,000.00"
25213593788,Lower quartile,2023 - 24,"50,000.00"
25192932833,Lower middle quartile,2024 - 25,"121,000.00"
25169615525,Lower middle quartile,2024 - 25,"80,000.00"
25169518325,Lower middle quartile,2024 - 25,"75,000.00"
25169518325,Upper quartile,2023 - 24,"183,000.00"
25169518325,Upper middle quartile,2023 - 24,"98,000.00"
25169518325,Total workforce,2023 - 24,"104,000.00"
25169518325,Lower quartile,2023 - 24,"62,000.00"
25164277614,Lower middle quartile,2024 - 25,"118,000.00"
25164277614,Upper quartile,2023 - 24,"167,000.00"
25164277614,Upper middle quartile,2023 - 24,"136,000.00"
25164277614,Total workforce,2023 - 24,"127,000.00"
25164277614,Lower quartile,2023 - 24,"86,000.00"
25154216145,Upper quartile,2023 - 24,"346,000.00"
25154216145,Upper middle quartile,2023 - 24,"234,000.00"
25154216145,Total workforce,2023 - 24,"226,000.00"
25154216145,Lower quartile,2023 - 24,"139,000.00"
25154216145,Lower middle quartile,2023 - 24,"190,000.00"
25151956768,Lower middle quartile,2024 - 25,"106,000.00"
25151956768,Upper quartile,2023 - 24,"245,000.00"
25151956768,Upper middle quartile,2023 - 24,"141,000.00"
25151956768,Total workforce,2023 - 24,"142,000.00"
25151956768,Lower quartile,2023 - 24,"83,000.00"
25151811449,Lower middle quartile,2024 - 25,"192,000.00"
25150938971,Lower middle quartile,2024 - 25,"66,000.00"
25150938971,Upper middle quartile,2024 - 25,"66,000.00"
25149908289,Lower middle quartile,2024 - 25,"72,000.00"
25149908289,Upper quartile,2023 - 24,"127,000.00"
25149908289,Upper middle quartile,2023 - 24,"80,000.00"
25149908289,Total workforce,2023 - 24,"84,000.00"
25149908289,Lower quartile,2023 - 24,"59,000.00"
25143844106,Lower middle quartile,2024 - 25,"122,000.00"
25142448977,Lower middle quartile,2024 - 25,"120,000.00"
25142448977,Upper quartile,2023 - 24,"211,000.00"
25142448977,Upper middle quartile,2023 - 24,"138,000.00"
25142448977,Total workforce,2023 - 24,"138,000.00"
25142448977,Lower quartile,2023 - 24,"89,000.00"
25138840374,Lower middle quartile,2024 - 25,"98,000.00"
25138840374,Upper quartile,2023 - 24,"278,000.00"
25138840374,Upper middle quartile,2023 - 24,"127,000.00"
25138840374,Total workforce,2023 - 24,"144,000.00"
25138840374,Lower quartile,2023 - 24,"79,000.00"
25135404705,Lower middle quartile,2024 - 25,"138,000.00"
25135404705,Upper quartile,2023 - 24,"312,000.00"
25135404705,Upper middle quartile,2023 - 24,"168,000.00"
25135404705,Total workforce,2023 - 24,"173,000.00"
25135404705,Lower quartile,2023 - 24,"86,000.00"
25129573164,Lower middle quartile,2024 - 25,"82,000.00"
25129573164,Upper quartile,2023 - 24,"164,000.00"
25129573164,Upper middle quartile,2023 - 24,"98,000.00"
25129573164,Total workforce,2023 - 24,"102,000.00"
25129573164,Lower quartile,2023 - 24,"67,000.00"
25127523853,Lower middle quartile,2024 - 25,"102,000.00"
25124094739,Lower middle quartile,2024 - 25,"85,000.00"
25124094739,Upper quartile,2023 - 24,"145,000.00"
25124094739,Upper middle quartile,2023 - 24,"103,000.00"
25124094739,Total workforce,2023 - 24,"95,000.00"
25124094739,Lower quartile,2023 - 24,"53,000.00"
25119523483,Lower middle quartile,2024 - 25,"113,000.00"
25119523483,Upper quartile,2023 - 24,"279,000.00"
25119523483,Upper middle quartile,2023 - 24,"146,000.00"
25119523483,Total workforce,2023 - 24,"156,000.00"
25119523483,Lower quartile,2023 - 24,"84,000.00"
25119446981,Lower middle quartile,2024 - 25,"112,000.00"
25115473035,Lower middle quartile,2024 - 25,"82,000.00"
25114904415,Lower middle quartile,2024 - 25,"73,000.00"
25114904415,Upper quartile,2023 - 24,"91,000.00"
25114904415,Upper middle quartile,2023 - 24,"72,000.00"
25114904415,Total workforce,2023 - 24,"73,000.00"
25114904415,Lower quartile,2023 - 24,"60,000.00"
25109526463,Upper quartile,2023 - 24,"271,000.00"
25109526463,Upper middle quartile,2023 - 24,"213,000.00"
25109526463,Total workforce,2023 - 24,"195,000.00"
25109526463,Lower quartile,2023 - 24,"117,000.00"
25109526463,Lower middle quartile,2023 - 24,"182,000.00"
25104305991,Lower middle quartile,2024 - 25,"100,000.00"
25104305991,Upper quartile,2023 - 24,"172,000.00"
25104305991,Upper middle quartile,2023 - 24,"118,000.00"
25104305991,Total workforce,2023 - 24,"116,000.00"
25104305991,Lower quartile,2023 - 24,"79,000.00"
25101655298,Lower middle quartile,2024 - 25,"132,000.00"
25092807264,Lower middle quartile,2024 - 25,"177,000.00"
25092807264,Upper quartile,2023 - 24,"468,000.00"
25092807264,Upper middle quartile,2023 - 24,"237,000.00"
25092807264,Total workforce,2023 - 24,"244,000.00"
25092807264,Lower quartile,2023 - 24,"107,000.00"
25090664878,Lower middle quartile,2024 - 25,"157,000.00"
25090664878,Upper quartile,2023 - 24,"232,000.00"
25090664878,Upper middle quartile,2023 - 24,"171,000.00"
25090664878,Total workforce,2023 - 24,"162,000.00"
25090664878,Lower quartile,2023 - 24,"101,000.00"
25089545853,Lower middle quartile,2024 - 25,"88,000.00"
25089545853,Upper quartile,2023 - 24,"174,000.00"
25089545853,Upper middle quartile,2023 - 24,"106,000.00"
25089545853,Total workforce,2023 - 24,"104,000.00"
25089545853,Lower quartile,2023 - 24,"55,000.00"
25086370130,Upper quartile,2023 - 24,"219,000.00"
25086370130,Upper middle quartile,2023 - 24,"143,000.00"
25086370130,Total workforce,2023 - 24,"134,000.00"
25086370130,Lower quartile,2023 - 24,"73,000.00"
25086370130,Lower middle quartile,2023 - 24,"102,000.00"
25085110379,Lower middle quartile,2024 - 25,"111,000.00"
25085110379,Upper quartile,2023 - 24,"153,000.00"
25085110379,Upper middle quartile,2024 - 25,"117,000.00"
25085110379,Total workforce,2023 - 24,"116,000.00"
25085110379,Lower quartile,2023 - 24,"84,000.00"
25077738035,Lower middle quartile,2024 - 25,"86,000.00"
25076958453,Lower middle quartile,2024 - 25,"131,000.00"
25076517354,Lower middle quartile,2024 - 25,"171,000.00"
25076517354,Upper quartile,2023 - 24,"305,000.00"
25076517354,Upper middle quartile,2023 - 24,"226,000.00"
25076517354,Total workforce,2023 - 24,"205,000.00"
25076517354,Lower quartile,2023 - 24,"113,000.00"
25072977292,Lower middle quartile,2024 - 25,"79,000.00"
25072977292,Upper quartile,2023 - 24,"148,000.00"
25072977292,Upper middle quartile,2023 - 24,"92,000.00"
25072977292,Total workforce,2023 - 24,"97,000.00"
25072977292,Lower quartile,2023 - 24,"67,000.00"
25069782663,Lower middle quartile,2024 - 25,"55,000.00"
25069782663,Upper quartile,2023 - 24,"62,000.00"
25069782663,Upper middle quartile,2023 - 24,"49,000.00"
25069782663,Total workforce,2023 - 24,"52,000.00"
25069782663,Lower quartile,2023 - 24,"49,000.00"
25067428344,Lower middle quartile,2024 - 25,"161,000.00"
25067428344,Upper quartile,2023 - 24,"295,000.00"
25067428344,Upper middle quartile,2023 - 24,"188,000.00"
25067428344,Total workforce,2023 - 24,"179,000.00"
25067428344,Lower quartile,2023 - 24,"87,000.00"
25064793862,Lower middle quartile,2024 - 25,"72,000.00"
25064793862,Upper quartile,2023 - 24,"163,000.00"
25064793862,Upper middle quartile,2023 - 24,"95,000.00"
25064793862,Total workforce,2023 - 24,"100,000.00"
25064793862,Lower quartile,2023 - 24,"67,000.00"
25063565006,Lower middle quartile,2024 - 25,"231,000.00"
25063565006,Upper quartile,2023 - 24,"1,008,000.00"
25063565006,Upper middle quartile,2023 - 24,"331,000.00"
25063565006,Total workforce,2023 - 24,"407,000.00"
25063565006,Lower quartile,2023 - 24,"104,000.00"
25061370769,Lower middle quartile,2024 - 25,"70,000.00"
25061370769,Upper quartile,2023 - 24,"102,000.00"
25061370769,Upper middle quartile,2023 - 24,"86,000.00"
25061370769,Total workforce,2023 - 24,"82,000.00"
25061370769,Lower quartile,2023 - 24,"68,000.00"
25060896568,Lower middle quartile,2024 - 25,"65,000.00"
25060896568,Upper quartile,2023 - 24,"94,000.00"
25060896568,Upper middle quartile,2023 - 24,"55,000.00"
25060896568,Total workforce,2023 - 24,"64,000.00"
25060896568,Lower quartile,2023 - 24,"53,000.00"
25060510410,Lower middle quartile,2024 - 25,"71,000.00"
25060510410,Upper quartile,2023 - 24,"99,000.00"
25060510410,Upper middle quartile,2023 - 24,"71,000.00"
25060510410,Total workforce,2023 - 24,"72,000.00"
25060510410,Lower quartile,2023 - 24,"55,000.00"
25057964379,Lower middle quartile,2024 - 25,"87,000.00"
25057964379,Upper quartile,2023 - 24,"141,000.00"
25057964379,Upper middle quartile,2023 - 24,"115,000.00"
25057964379,Total workforce,2023 - 24,"102,000.00"
25057964379,Lower quartile,2023 - 24,"70,000.00"
25057783749,Lower middle quartile,2024 - 25,"67,000.00"
25057783749,Upper quartile,2023 - 24,"151,000.00"
25057783749,Upper middle quartile,2023 - 24,"80,000.00"
25057783749,Total workforce,2023 - 24,"87,000.00"
25057783749,Lower quartile,2023 - 24,"51,000.00"
25050612274,Lower middle quartile,2024 - 25,"176,000.00"
25050612274,Upper quartile,2023 - 24,"252,000.00"
25050612274,Upper middle quartile,2023 - 24,"187,000.00"
25050612274,Total workforce,2023 - 24,"177,000.00"
25050612274,Lower quartile,2023 - 24,"113,000.00"
25010957552,Lower middle quartile,2024 - 25,"82,000.00"
25010957552,Upper quartile,2023 - 24,"87,000.00"
25010957552,Upper middle quartile,2023 - 24,"76,000.00"
25010957552,Total workforce,2023 - 24,"74,000.00"
25010957552,Lower quartile,2023 - 24,"67,000.00"
25010473971,Lower middle quartile,2024 - 25,"84,000.00"
25010473971,Upper quartile,2023 - 24,"195,000.00"
25010473971,Upper middle quartile,2023 - 24,"104,000.00"
25010473971,Total workforce,2023 - 24,"112,000.00"
25010473971,Lower quartile,2023 - 24,"69,000.00"
25009994996,Lower middle quartile,2024 - 25,"73,000.00"
25009994996,Upper quartile,2023 - 24,"103,000.00"
25009994996,Upper middle quartile,2023 - 24,"72,000.00"
25009994996,Total workforce,2023 - 24,"74,000.00"
25009994996,Lower quartile,2023 - 24,"56,000.00"
25009527913,Lower middle quartile,2024 - 25,"65,000.00"
25009516189,Lower middle quartile,2024 - 25,"78,000.00"
25009516189,Upper quartile,2023 - 24,"99,000.00"
25009516189,Upper middle quartile,2023 - 24,"79,000.00"
25009516189,Total workforce,2023 - 24,"78,000.00"
25009516189,Lower quartile,2023 - 24,"62,000.00"
25009241972,Lower middle quartile,2024 - 25,"75,000.00"
25009241972,Upper quartile,2023 - 24,"124,000.00"
25009241972,Upper middle quartile,2023 - 24,"92,000.00"
25009241972,Total workforce,2023 - 24,"89,000.00"
25009241972,Lower quartile,2023 - 24,"64,000.00"
25008747073,Lower middle quartile,2024 - 25,"34,000.00"
25008747073,Upper quartile,2023 - 24,"76,000.00"
25008747073,Upper middle quartile,2023 - 24,"46,000.00"
25008747073,Total workforce,2023 - 24,"45,000.00"
25008747073,Lower quartile,2023 - 24,"27,000.00"
25008736543,Lower quartile,2024 - 25,"100,000.00"
25008736543,Lower middle quartile,2024 - 25,"129,000.00"
25008736543,Upper quartile,2023 - 24,"213,000.00"
25008736543,Upper middle quartile,2023 - 24,"155,000.00"
25008736543,Total workforce,2023 - 24,"142,000.00"
25008645823,Upper quartile,2023 - 24,"176,000.00"
25008645823,Upper middle quartile,2023 - 24,"150,000.00"
25008645823,Total workforce,2023 - 24,"135,000.00"
25008645823,Lower quartile,2023 - 24,"89,000.00"
25008645823,Lower middle quartile,2023 - 24,"128,000.00"
25006592089,Lower middle quartile,2024 - 25,"159,000.00"
25006592089,Upper quartile,2023 - 24,"352,000.00"
25006592089,Upper middle quartile,2023 - 24,"192,000.00"
25006592089,Total workforce,2023 - 24,"198,000.00"
25006592089,Lower quartile,2023 - 24,"102,000.00"
25006390772,Lower middle quartile,2024 - 25,"96,000.00"
25006390772,Upper quartile,2023 - 24,"525,000.00"
25006390772,Upper middle quartile,2023 - 24,"173,000.00"
25006390772,Total workforce,2023 - 24,"213,000.00"
25006390772,Lower quartile,2023 - 24,"61,000.00"
25005092704,Lower quartile,2024 - 25,"83,000.00"
25005092704,Lower middle quartile,2024 - 25,"96,000.00"
25005092704,Upper quartile,2023 - 24,"175,000.00"
25005092704,Upper middle quartile,2023 - 24,"115,000.00"
25005092704,Total workforce,2023 - 24,"116,000.00"
25004428568,Lower middle quartile,2024 - 25,"57,000.00"
25004270991,Lower middle quartile,2024 - 25,"135,000.00"
25004270991,Upper quartile,2023 - 24,"378,000.00"
25004270991,Upper middle quartile,2023 - 24,"175,000.00"
25004270991,Total workforce,2023 - 24,"189,000.00"
25004270991,Lower quartile,2023 - 24,"83,000.00"
25003824244,Lower quartile,2024 - 25,"134,000.00"
25003824244,Lower middle quartile,2024 - 25,"157,000.00"
25003824244,Upper quartile,2023 - 24,"190,000.00"
25003824244,Upper middle quartile,2023 - 24,"168,000.00"
25003824244,Total workforce,2023 - 24,"163,000.00"
25003538314,Lower middle quartile,2024 - 25,"149,000.00"
25003538314,Upper quartile,2023 - 24,"337,000.00"
25003538314,Upper middle quartile,2023 - 24,"202,000.00"
25003538314,Total workforce,2023 - 24,"197,000.00"
25003538314,Lower quartile,2023 - 24,"103,000.00"
25003501853,Lower middle quartile,2024 - 25,"84,000.00"
25003501853,Upper quartile,2023 - 24,"163,000.00"
25003501853,Upper middle quartile,2023 - 24,"99,000.00"
25003501853,Total workforce,2023 - 24,"99,000.00"
25003501853,Lower quartile,2023 - 24,"59,000.00"
25003377188,Lower middle quartile,2024 - 25,"97,000.00"
25003377188,Upper quartile,2023 - 24,"215,000.00"
25003377188,Upper middle quartile,2023 - 24,"121,000.00"
25003377188,Total workforce,2023 - 24,"125,000.00"
25003377188,Lower quartile,2023 - 24,"71,000.00"
25002587886,Lower middle quartile,2024 - 25,"96,000.00"
25002587886,Upper quartile,2023 - 24,"203,000.00"
25002587886,Upper middle quartile,2023 - 24,"120,000.00"
25002587886,Total workforce,2023 - 24,"122,000.00"
25002587886,Lower quartile,2023 - 24,"74,000.00"
25002024839,Lower middle quartile,2024 - 25,"121,000.00"
25002024839,Upper quartile,2023 - 24,"171,000.00"
25002024839,Upper middle quartile,2024 - 25,"140,000.00"
25002024839,Total workforce,2023 - 24,"126,000.00"
25002024839,Lower quartile,2023 - 24,"81,000.00"
25001868542,Lower middle quartile,2024 - 25,"48,000.00"
25001868542,Upper quartile,2023 - 24,"80,000.00"
25001868542,Upper middle quartile,2023 - 24,"56,000.00"
25001868542,Total workforce,2023 - 24,"54,000.00"
25001868542,Lower quartile,2023 - 24,"33,000.00"
25001845478,Lower middle quartile,2024 - 25,"82,000.00"
25001845478,Upper quartile,2023 - 24,"209,000.00"
25001845478,Upper middle quartile,2023 - 24,"99,000.00"
25001845478,Total workforce,2023 - 24,"111,000.00"
25001845478,Lower quartile,2023 - 24,"62,000.00"
25000875034,Lower middle quartile,2024 - 25,"78,000.00"
25000875034,Upper quartile,2023 - 24,"175,000.00"
25000875034,Upper middle quartile,2023 - 24,"83,000.00"
25000875034,Total workforce,2023 - 24,"100,000.00"
25000875034,Lower quartile,2023 - 24,"67,000.00"
25000244459,Lower middle quartile,2024 - 25,"81,000.00"
25000244459,Upper quartile,2023 - 24,"132,000.00"
25000244459,Upper middle quartile,2023 - 24,"88,000.00"
25000244459,Total workforce,2023 - 24,"92,000.00"
25000244459,Lower quartile,2023 - 24,"70,000.00"
25000045572,Lower middle quartile,2024 - 25,"113,000.00"
25000045572,Upper quartile,2023 - 24,"207,000.00"
25000045572,Upper middle quartile,2023 - 24,"133,000.00"
25000045572,Total workforce,2023 - 24,"133,000.00"
25000045572,Lower quartile,2023 - 24,"83,000.00"
24839364005,Lower middle quartile,2024 - 25,"73,000.00"
24839364005,Upper quartile,2023 - 24,"112,000.00"
24839364005,Upper middle quartile,2023 - 24,"86,000.00"
24839364005,Total workforce,2023 - 24,"85,000.00"
24839364005,Lower quartile,2023 - 24,"66,000.00"
24819440618,Lower middle quartile,2024 - 25,"147,000.00"
24819440618,Upper quartile,2023 - 24,"321,000.00"
24819440618,Upper middle quartile,2023 - 24,"182,000.00"
24819440618,Total workforce,2023 - 24,"187,000.00"
24819440618,Lower quartile,2023 - 24,"103,000.00"
24814479238,Lower middle quartile,2024 - 25,"68,000.00"
24814479238,Upper quartile,2023 - 24,"126,000.00"
24814479238,Upper middle quartile,2023 - 24,"76,000.00"
24814479238,Total workforce,2023 - 24,"83,000.00"
24814479238,Lower quartile,2023 - 24,"61,000.00"
24812604132,Lower middle quartile,2024 - 25,"48,000.00"
24812604132,Upper quartile,2023 - 24,"81,000.00"
24812604132,Upper middle quartile,2023 - 24,"59,000.00"
24812604132,Total workforce,2023 - 24,"54,000.00"
24812604132,Lower quartile,2023 - 24,"33,000.00"
24792235003,Lower middle quartile,2024 - 25,"41,000.00"
24792235003,Upper quartile,2023 - 24,"67,000.00"
24792235003,Upper middle quartile,2023 - 24,"45,000.00"
24792235003,Total workforce,2023 - 24,"45,000.00"
24792235003,Lower quartile,2023 - 24,"29,000.00"
24765357415,Lower middle quartile,2024 - 25,"117,000.00"
24765357415,Upper quartile,2023 - 24,"176,000.00"
24765357415,Upper middle quartile,2023 - 24,"133,000.00"
24765357415,Total workforce,2023 - 24,"122,000.00"
24765357415,Lower quartile,2023 - 24,"71,000.00"
24763923553,Lower middle quartile,2024 - 25,"61,000.00"
24763923553,Upper quartile,2023 - 24,"92,000.00"
24763923553,Upper middle quartile,2023 - 24,"75,000.00"
24763923553,Total workforce,2023 - 24,"77,000.00"
24763923553,Lower quartile,2023 - 24,"70,000.00"
24719196762,Lower middle quartile,2024 - 25,"117,000.00"
24719196762,Upper quartile,2023 - 24,"151,000.00"
24719196762,Upper middle quartile,2023 - 24,"123,000.00"
24719196762,Total workforce,2023 - 24,"120,000.00"
24719196762,Lower quartile,2023 - 24,"95,000.00"
24693089021,Lower middle quartile,2024 - 25,"109,000.00"
24693089021,Upper quartile,2023 - 24,"160,000.00"
24693089021,Upper middle quartile,2024 - 25,"136,000.00"
24693089021,Total workforce,2023 - 24,"111,000.00"
24693089021,Lower quartile,2023 - 24,"67,000.00"
24668727455,Lower middle quartile,2024 - 25,"36,000.00"
24668154774,Lower middle quartile,2024 - 25,"85,000.00"
24649965873,Lower middle quartile,2024 - 25,"95,000.00"
24637544426,Lower middle quartile,2024 - 25,"91,000.00"
24633182117,Upper quartile,2023 - 24,"180,000.00"
24633182117,Upper middle quartile,2023 - 24,"144,000.00"
24633182117,Total workforce,2023 - 24,"125,000.00"
24633182117,Lower quartile,2023 - 24,"75,000.00"
24633182117,Lower middle quartile,2023 - 24,"102,000.00"
24629376866,Lower middle quartile,2024 - 25,"123,000.00"
24629376866,Upper quartile,2023 - 24,"203,000.00"
24629376866,Upper middle quartile,2023 - 24,"148,000.00"
24629376866,Total workforce,2023 - 24,"139,000.00"
24629376866,Lower quartile,2023 - 24,"87,000.00"
24621552510,Lower middle quartile,2024 - 25,"66,000.00"
24621552510,Upper quartile,2023 - 24,"166,000.00"
24621552510,Upper middle quartile,2023 - 24,"48,000.00"
24621552510,Total workforce,2023 - 24,"69,000.00"
24621552510,Lower quartile,2023 - 24,"30,000.00"
24619787692,Upper quartile,2023 - 24,"122,000.00"
24619787692,Upper middle quartile,2023 - 24,"87,000.00"
24619787692,Total workforce,2023 - 24,"88,000.00"
24619787692,Lower quartile,2023 - 24,"67,000.00"
24619787692,Lower middle quartile,2023 - 24,"75,000.00"
24609782998,Lower middle quartile,2024 - 25,"116,000.00"
24609782998,Upper quartile,2023 - 24,"282,000.00"
24609782998,Upper middle quartile,2023 - 24,"146,000.00"
24609782998,Total workforce,2023 - 24,"155,000.00"
24609782998,Lower quartile,2023 - 24,"83,000.00"
24609771146,Lower middle quartile,2024 - 25,"151,000.00"
24609771146,Upper quartile,2023 - 24,"457,000.00"
24609771146,Upper middle quartile,2023 - 24,"261,000.00"
24609771146,Total workforce,2023 - 24,"234,000.00"
24609771146,Lower quartile,2023 - 24,"59,000.00"
24609760616,Lower quartile,2024 - 25,"73,000.00"
24609760616,Lower middle quartile,2024 - 25,"84,000.00"
24609760616,Upper quartile,2023 - 24,"147,000.00"
24609760616,Upper middle quartile,2023 - 24,"101,000.00"
24609760616,Total workforce,2023 - 24,"101,000.00"
24608666306,Lower middle quartile,2024 - 25,"92,000.00"
24608666306,Upper quartile,2023 - 24,"170,000.00"
24608666306,Upper middle quartile,2023 - 24,"108,000.00"
24608666306,Total workforce,2023 - 24,"108,000.00"
24608666306,Lower quartile,2023 - 24,"69,000.00"
24605680635,Lower middle quartile,2024 - 25,"110,000.00"
24605680635,Upper quartile,2023 - 24,"135,000.00"
24605680635,Upper middle quartile,2024 - 25,"122,000.00"
24605680635,Total workforce,2023 - 24,"110,000.00"
24605680635,Lower quartile,2023 - 24,"87,000.00"
24603467024,Lower middle quartile,2024 - 25,"101,000.00"
24603467024,Upper quartile,2023 - 24,"150,000.00"
24603467024,Upper middle quartile,2024 - 25,"111,000.00"
24603467024,Total workforce,2023 - 24,"110,000.00"
