abn,remuneration_quartile,reporting_period,avg_total_remuneration
99269630262,Upper middle quartile,2024 - 25,"114,000.00"
99269630262,Total workforce,2023 - 24,"101,000.00"
99269630262,Lower quartile,2023 - 24,"70,000.00"
99268572029,Lower middle quartile,2024 - 25,"97,000.00"
99268572029,Upper quartile,2023 - 24,"158,000.00"
99268572029,Upper middle quartile,2024 - 25,"126,000.00"
99268572029,Total workforce,2023 - 24,"110,000.00"
99268572029,Lower quartile,2023 - 24,"65,000.00"
99252041004,Lower middle quartile,2024 - 25,"107,000.00"
99252041004,Upper quartile,2023 - 24,"226,000.00"
99252041004,Upper middle quartile,2023 - 24,"143,000.00"
99252041004,Total workforce,2023 - 24,"136,000.00"
99252041004,Lower quartile,2023 - 24,"77,000.00"
99166302914,Lower middle quartile,2024 - 25,"137,000.00"
99166302914,Upper quartile,2023 - 24,"182,000.00"
99166302914,Upper middle quartile,2023 - 24,"160,000.00"
99166302914,Total workforce,2023 - 24,"142,000.00"
99166302914,Lower quartile,2023 - 24,"95,000.00"
99162178458,Lower middle quartile,2024 - 25,"134,000.00"
99162178458,Upper quartile,2023 - 24,"232,000.00"
99162178458,Upper middle quartile,2023 - 24,"143,000.00"
99162178458,Total workforce,2023 - 24,"142,000.00"
99162178458,Lower quartile,2023 - 24,"79,000.00"
99160762433,Lower middle quartile,2024 - 25,"66,000.00"
99160762433,Upper quartile,2023 - 24,"113,000.00"
99160762433,Upper middle quartile,2023 - 24,"62,000.00"
99160762433,Total workforce,2023 - 24,"73,000.00"
99160762433,Lower quartile,2023 - 24,"58,000.00"
99159177803,Lower middle quartile,2024 - 25,"75,000.00"
99159177803,Upper quartile,2023 - 24,"107,000.00"
99159177803,Upper middle quartile,2023 - 24,"72,000.00"
99159177803,Total workforce,2023 - 24,"72,000.00"
99159177803,Lower quartile,2023 - 24,"47,000.00"
99158281559,Lower middle quartile,2024 - 25,"233,000.00"
99158281559,Upper quartile,2023 - 24,"693,000.00"
